TRDTYPE,USASTATE,YEAR,MONTH,month_seq,COUNTRY,DISAGMOT,impact,VALUE
2.0,51,2010,6,0,1.0,2.0,65113439.0,8264818.0
2.0,51,2010,6,0,1.0,1.0,65113439.0,92222715.0
1.0,51,2010,6,0,2.0,2.0,65113439.0,2681287.0
1.0,51,2010,6,0,2.0,1.0,65113439.0,51727241.0
2.0,51,2010,6,0,2.0,2.0,65113439.0,3165656.0
2.0,51,2010,6,0,2.0,1.0,65113439.0,32254876.0
1.0,50,2010,6,0,1.0,2.0,7788016.0,3932577.0
1.0,50,2010,6,0,1.0,1.0,7788016.0,162477169.0
2.0,50,2010,6,0,1.0,2.0,7788016.0,857470.0
2.0,50,2010,6,0,1.0,1.0,7788016.0,168893757.0
1.0,50,2010,6,0,2.0,2.0,7788016.0,554647.0
1.0,50,2010,6,0,2.0,1.0,7788016.0,3833879.0
2.0,50,2010,6,0,2.0,2.0,7788016.0,219909.0
2.0,50,2010,6,0,2.0,1.0,7788016.0,2570767.0
1.0,53,2010,6,0,1.0,2.0,8096968.0,23730056.0
1.0,53,2010,6,0,1.0,1.0,8096968.0,423968437.0
2.0,53,2010,6,0,1.0,2.0,8096968.0,24252532.0
2.0,53,2010,6,0,1.0,1.0,8096968.0,402215028.0
1.0,53,2010,6,0,2.0,2.0,8096968.0,7042199.0
1.0,53,2010,6,0,2.0,1.0,8096968.0,49411635.0
2.0,53,2010,6,0,2.0,2.0,8096968.0,1476480.0
2.0,53,2010,6,0,2.0,1.0,8096968.0,40920027.0
1.0,55,2010,6,0,1.0,2.0,642149720.0,18540073.0
1.0,55,2010,6,0,1.0,1.0,642149720.0,483840369.0
2.0,55,2010,6,0,1.0,2.0,642149720.0,7386463.0
2.0,55,2010,6,0,1.0,1.0,642149720.0,211532183.0
1.0,55,2010,6,0,2.0,2.0,642149720.0,4505874.0
1.0,55,2010,6,0,2.0,1.0,642149720.0,150731154.0
2.0,55,2010,6,0,2.0,2.0,642149720.0,4351455.0
2.0,55,2010,6,0,2.0,1.0,642149720.0,254045299.0
1.0,54,2010,6,0,1.0,2.0,22844172.0,3562631.0
1.0,54,2010,6,0,1.0,1.0,22844172.0,111593071.0
2.0,54,2010,6,0,1.0,2.0,22844172.0,21091914.0
2.0,54,2010,6,0,1.0,1.0,22844172.0,56502827.0
1.0,54,2010,6,0,2.0,2.0,22844172.0,66106.0
1.0,54,2010,6,0,2.0,1.0,22844172.0,9436523.0
2.0,54,2010,6,0,2.0,2.0,22844172.0,123732.0
2.0,54,2010,6,0,2.0,1.0,22844172.0,2047509.0
1.0,56,2010,6,0,1.0,2.0,15444505.0,229998.0
1.0,56,2010,6,0,1.0,1.0,15444505.0,7576898.0
2.0,56,2010,6,0,1.0,2.0,15444505.0,390194.0
2.0,56,2010,6,0,1.0,1.0,15444505.0,26368184.0
1.0,56,2010,6,0,2.0,2.0,15444505.0,26818.0
1.0,56,2010,6,0,2.0,1.0,15444505.0,514430.0
2.0,56,2010,6,0,2.0,2.0,15444505.0,27968.0
